EmployeeId,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,RelationshipSatisfaction,StandardHours,StockOptionLevel,TrainingTimesLastYear,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,PerformanceSatisfactionIndex,ExperiencePriorToCurrentJob,EmployeeEngagementScore,DistanceFromHomeCategory,AgeGeneration,EducationDegree
1,38,0.0,Travel_Frequently,1444,Human Resources,1,4,Other,1,4,Male,88,1,Human Resources,2,Married,2991,5224,0,Y,Yes,11,2,80,1,2,2,1,2,Medium,Junior,Better,Short Distance,Millennials,Doctoral Degree
2,37,1.0,Travel_Rarely,1141,Research & Development,11,2,Medical,1,1,Female,61,2,Healthcare Representative,2,Married,4777,14382,5,Y,No,15,1,80,0,2,0,0,0,Low,Senior,Bad,Medium Distance,Millennials,Associate Degree
3,51,1.0,Travel_Rarely,1323,Research & Development,4,4,Life Sciences,1,1,Male,34,1,Research Scientist,3,Married,2461,10332,9,Y,Yes,12,3,80,3,2,0,2,7,Medium,Mid-level,Better,Short Distance,Gen X,Doctoral Degree
4,42,0.0,Travel_Frequently,555,Sales,26,3,Marketing,1,3,Female,77,4,Sales Executive,2,Married,13525,14864,5,Y,No,14,4,80,1,2,4,4,8,High,Junior,Better,Long Distance,Gen Y,Bachelor Degree
5,40,0.0,Travel_Rarely,1194,Research & Development,2,4,Medical,1,3,Female,98,1,Research Scientist,3,Married,2001,12549,2,Y,No,14,2,80,3,2,3,0,2,Medium,Senior,Better,Short Distance,Millennials,Doctoral Degree
6,29,0.0,Travel_Rarely,352,Human Resources,6,1,Medical,1,4,Male,87,1,Human Resources,2,Married,2804,15434,1,Y,No,11,4,80,0,3,0,0,0,High,Junior,Good,Short Distance,Gen Z,High School
7,40,0.0,Travel_Rarely,1124,Sales,1,2,Medical,1,2,Male,57,2,Sales Executive,4,Married,7457,13273,2,Y,Yes,22,3,80,3,2,3,0,2,High,Junior,Good,Short Distance,Millennials,Associate Degree
8,55,1.0,Travel_Rarely,725,Research & Development,2,3,Medical,1,4,Male,78,5,Manager,1,Married,19859,21199,5,Y,Yes,13,4,80,1,2,2,1,4,High,Senior,Better,Short Distance,Gen X,Bachelor Degree
9,36,0.0,Travel_Frequently,635,Research & Development,18,1,Medical,1,2,Female,73,1,Laboratory Technician,4,Single,2153,7703,1,Y,No,13,1,80,0,2,1,1,7,Medium,Junior,Better,Medium Distance,Millennials,High School
10,32,0.0,Travel_Rarely,1018,Research & Development,3,2,Life Sciences,1,3,Female,39,3,Research Director,4,Single,11159,19373,3,Y,No,15,4,80,0,6,7,7,7,High,Junior,Better,Short Distance,Millennials,Associate Degree
11,25,0.0,Travel_Rarely,583,Sales,4,1,Marketing,1,3,Male,87,2,Sales Executive,1,Married,4256,18154,1,Y,No,12,1,80,0,1,2,0,3,Low,Junior,Better,Short Distance,Gen Z,High School
12,20,1.0,Travel_Rarely,129,Research & Development,4,3,Technical Degree,1,1,Male,84,1,Laboratory Technician,1,Single,2973,13008,1,Y,No,19,2,80,0,2,0,0,0,Low,Junior,Better,Short Distance,Gen Z,Bachelor Degree
13,47,0.0,Travel_Rarely,571,Sales,14,3,Medical,1,3,Female,78,2,Sales Executive,3,Married,4591,24200,3,Y,Yes,17,3,80,1,4,4,1,2,High,Mid-level,Good,Medium Distance,Gen Y,Bachelor Degree
14,42,0.0,Travel_Rarely,810,Research & Development,23,5,Life Sciences,1,1,Female,44,4,Research Director,4,Single,15992,15901,2,Y,No,14,2,80,0,2,0,0,0,Medium,Senior,Better,Long Distance,Gen Y,Master Degree
15,31,0.0,Travel_Rarely,616,Research & Development,12,3,Medical,1,4,Female,41,2,Healthcare Representative,4,Married,5855,17369,0,Y,Yes,11,3,80,2,2,7,8,5,High,Junior,Good,Medium Distance,Millennials,Bachelor Degree
16,38,0.0,Non-Travel,573,Research & Development,6,3,Medical,1,2,Female,79,2,Research Scientist,4,Divorced,5329,15717,7,Y,Yes,12,4,80,3,3,11,1,9,High,Junior,Good,Short Distance,Millennials,Bachelor Degree
